building_id,fold,model,h,mae,nmae
Bobcat_education_Angela,fold0,lgbm_multioutput,2,3.3319342239522345,0.6648254452911125
Bobcat_education_Angela,fold0,lgbm_multioutput,3,4.200204997841105,0.8380727140199693
Bobcat_education_Angela,fold0,lgbm_multioutput,4,4.662147914000419,0.9302448231591482
Bobcat_education_Angela,fold0,lgbm_multioutput,5,5.144627362807834,1.0265146150690017
Bobcat_education_Angela,fold0,lgbm_multioutput,6,5.753828718418928,1.1480694043576334
Bobcat_education_Angela,fold0,lgbm_multioutput,7,6.4389574881542,1.284774095628734
Bobcat_education_Angela,fold0,lgbm_multioutput,8,7.11658885155183,1.4199828190409496
Bobcat_education_Angela,fold0,lgbm_multioutput,9,7.649877041171313,1.5263905492967154
Bobcat_education_Angela,fold0,lgbm_multioutput,10,7.200981263670245,1.4368217537841648
Bobcat_education_Angela,fold0,lgbm_multioutput,11,7.849752156554988,1.5662719075877396
Bobcat_education_Angela,fold0,lgbm_multioutput,12,7.823691081628878,1.5610719052533704
Bobcat_education_Angela,fold0,lgbm_multioutput,13,7.335487574864003,1.4636599841402802
Bobcat_education_Angela,fold0,lgbm_multioutput,14,7.771707241903423,1.5506994977955715
Bobcat_education_Angela,fold0,lgbm_multioutput,15,7.170205412356116,1.4306810055944061
Bobcat_education_Angela,fold0,lgbm_multioutput,16,7.06446501694904,1.4095824782115993
Bobcat_education_Angela,fold0,lgbm_multioutput,17,6.637417366791103,1.3243730697737564
Bobcat_education_Angela,fold0,lgbm_multioutput,18,7.203321544765999,1.4372887133088774
Bobcat_education_Angela,fold0,lgbm_multioutput,19,7.369316380866579,1.4704098926026543
Bobcat_education_Angela,fold0,lgbm_multioutput,20,6.368411469634844,1.270697950956222
Bobcat_education_Angela,fold0,lgbm_multioutput,21,6.639557376727156,1.3248000689169075
Bobcat_education_Angela,fold0,lgbm_multioutput,22,7.040922617094333,1.4048850305987044
Bobcat_education_Angela,fold0,lgbm_multioutput,23,6.9707119234731145,1.390875793767025
Bobcat_education_Angela,fold0,lgbm_multioutput,24,7.73078136784115,1.5425335015247614
Bobcat_education_Angela,fold0,lstm_seq2seq,1,7.388100568751661,1.4741579275984709
Bobcat_education_Angela,fold0,lstm_seq2seq,2,7.786654316618296,1.5536819082920572
Bobcat_education_Angela,fold0,lstm_seq2seq,3,8.112894342874398,1.6187770320698087
Bobcat_education_Angela,fold0,lstm_seq2seq,4,8.361442675716777,1.668370224777645
Bobcat_education_Angela,fold0,lstm_seq2seq,5,8.529638065489767,1.7019304835900482
Bobcat_education_Angela,fold0,lstm_seq2seq,6,8.650494789472171,1.7260451929262728
Bobcat_education_Angela,fold0,lstm_seq2seq,7,8.743072836757415,1.7445174187787948
Bobcat_education_Angela,fold0,lstm_seq2seq,8,8.821126841110205,1.7600916422516235
Bobcat_education_Angela,fold0,lstm_seq2seq,9,8.892467061764235,1.7743262551748111
Bobcat_education_Angela,fold0,lstm_seq2seq,10,8.975879254967058,1.790969605481708
Bobcat_education_Angela,fold0,lstm_seq2seq,11,9.087856654178816,1.8133126108622863
Bobcat_education_Angela,fold0,lstm_seq2seq,12,9.202260879401981,1.8361398441943286
Bobcat_education_Angela,fold0,lstm_seq2seq,13,9.305570884783391,1.8567534324929755
Bobcat_education_Angela,fold0,lstm_seq2seq,14,9.424683375248438,1.8805201125024107
Bobcat_education_Angela,fold0,lstm_seq2seq,15,9.545827234775023,1.9046921143910052
Bobcat_education_Angela,fold0,lstm_seq2seq,16,9.669452365331994,1.9293592077210229
Bobcat_education_Angela,fold0,lstm_seq2seq,17,9.809155855520903,1.9572344383921116
Bobcat_education_Angela,fold0,lstm_seq2seq,18,9.93796484974606,1.9829358752114923
Bobcat_education_Angela,fold0,lstm_seq2seq,19,10.069443018177491,2.009169896052937
Bobcat_education_Angela,fold0,lstm_seq2seq,20,10.203988027615017,2.036015847923169
Bobcat_education_Angela,fold0,lstm_seq2seq,21,10.340383090090565,2.0632309434355456
Bobcat_education_Angela,fold0,lstm_seq2seq,22,10.465214932410966,2.0881388136331536
Bobcat_education_Angela,fold0,lstm_seq2seq,23,10.592225638471671,2.113481435527228
Bobcat_education_Angela,fold0,lstm_seq2seq,24,10.721272694406524,2.1392303731288917
Bobcat_education_Angela,fold0,transformer,1,3.9011753809467726,0.7784069208665881
Bobcat_education_Angela,fold0,transformer,2,3.992866587232611,0.796702194107593
Bobcat_education_Angela,fold0,transformer,3,4.043942949543984,0.8068935313415047
Bobcat_education_Angela,fold0,transformer,4,4.094804194528882,0.8170419459176592
Bobcat_education_Angela,fold0,transformer,5,4.1657781918807775,0.8312034857987181
Bobcat_education_Angela,fold0,transformer,6,4.215541329733979,0.8411327935397017
Bobcat_education_Angela,fold0,transformer,7,4.238350599730108,0.8456839587376613
Bobcat_education_Angela,fold0,transformer,8,4.281393866277226,0.854272441260293
Bobcat_education_Angela,fold0,transformer,9,4.4246390991664635,0.8828543607522251
Bobcat_education_Angela,fold0,transformer,10,4.392367896458204,0.8764152430300423
Bobcat_education_Angela,fold0,transformer,11,4.548019860180778,0.9074726946893221
Bobcat_education_Angela,fold0,transformer,12,4.6078022173002475,0.9194011511116579
Bobcat_education_Angela,fold0,transformer,13,4.757126504000812,0.9491960326206704
Bobcat_education_Angela,fold0,transformer,14,4.919419664629487,0.9815786114864313
Bobcat_education_Angela,fold0,transformer,15,4.993452599457695,0.9963505053940455
Bobcat_education_Angela,fold0,transformer,16,5.127155796033116,1.0230284891792902
Bobcat_education_Angela,fold0,transformer,17,5.258727056087202,1.0492810847209915
Bobcat_education_Angela,fold0,transformer,18,5.407588816888417,1.0789836777974224
Bobcat_education_Angela,fold0,transformer,19,5.50861417645617,1.0991414075561625
Bobcat_education_Angela,fold0,transformer,20,5.64526894182614,1.1264083219463503
Bobcat_education_Angela,fold0,transformer,21,5.798429816681528,1.1569687231976475
