local_date,method,mae,day_ape,true_kwh,n_steps,trip_day,fold
2024-03-01,sn_day,60.94219641361598,0.08205620554884302,7330.883505662584,96,False,3
2024-03-01,sn_week,40.81271317214931,0.053998374646245545,7330.883505662584,96,False,3
2024-03-01,lgbm_lagged,32.91805679523642,0.029206151518605165,7330.883505662584,96,False,3
2024-03-01,lgbm_perfect,32.50630122452153,0.01161615457537672,7330.883505662584,96,False,3
2024-03-02,sn_day,51.80305582973032,0.08635791137207785,6748.12916528,96,False,3
2024-03-02,sn_week,30.00069078552083,0.06084007747220132,6748.12916528,96,False,3
2024-03-02,lgbm_lagged,19.901034620051202,0.007106998992239092,6748.12916528,96,False,3
2024-03-02,lgbm_perfect,20.91853671264798,0.023799147534516812,6748.12916528,96,False,3
2024-03-03,sn_day,26.860638623993054,0.061538419243796806,6356.9335249186115,96,False,3
2024-03-03,sn_week,32.93956273159723,0.12211759440045511,6356.9335249186115,96,False,3
2024-03-03,lgbm_lagged,19.53536827215614,0.05191571828525872,6356.9335249186115,96,False,3
2024-03-03,lgbm_perfect,18.545729689491775,0.04431154094494926,6356.9335249186115,96,False,3
2024-03-04,sn_day,35.59817323773148,0.06536044871981092,6801.481401264722,96,False,3
2024-03-04,sn_week,27.411698802094907,0.03593911228545689,6801.481401264722,96,False,3
2024-03-04,lgbm_lagged,19.752324308461386,0.025642038825983142,6801.481401264722,96,False,3
2024-03-04,lgbm_perfect,19.000966840128317,0.013844343902391545,6801.481401264722,96,False,3
2024-03-05,sn_day,53.08174503424769,0.13820529967994866,7892.229319510556,96,False,3
2024-03-05,sn_week,36.9492309465625,0.006098993690984819,7892.229319510556,96,False,3
2024-03-05,lgbm_lagged,34.20402919809087,0.054434266911731845,7892.229319510556,96,False,3
2024-03-05,lgbm_perfect,32.46645797640533,0.04248976814985906,7892.229319510556,96,False,3
2024-03-06,sn_day,43.97492253574074,0.021830016856290043,7723.622509927223,96,False,3
2024-03-06,sn_week,58.53857263952927,0.008547463847144405,7723.622509927223,96,False,3
2024-03-06,lgbm_lagged,35.011557850348474,0.03388739755651947,7723.622509927223,96,False,3
2024-03-06,lgbm_perfect,34.017028050619,0.0434313107105389,7723.622509927223,96,False,3
2024-03-07,sn_day,56.457621736620375,0.027677676543807934,7943.479568043889,96,False,3
2024-03-07,sn_week,59.227375438237495,0.0013912767687466866,7943.479568043889,96,False,3
2024-03-07,lgbm_lagged,51.47962817581154,0.0347943111226284,7943.479568043889,96,False,3
2024-03-07,lgbm_perfect,53.999462710219,0.012642301797437397,7943.479568043889,96,False,3
2024-03-08,sn_day,64.31013568319445,0.005254555162227101,7985.439500393333,96,False,3
2024-03-08,sn_week,47.43584779824884,0.08196868747155472,7985.439500393333,96,False,3
2024-03-08,lgbm_lagged,36.200190766326635,0.036074502995977205,7985.439500393333,96,False,3
2024-03-08,lgbm_perfect,30.775830979977087,0.03586924548496496,7985.439500393333,96,False,3
2024-03-09,sn_day,49.78619794119013,0.13771732713232407,7018.825599255881,96,False,3
2024-03-09,sn_week,37.17925444843551,0.03856719762414088,7018.825599255881,96,False,3
2024-03-09,lgbm_lagged,34.461101630395675,0.0327807266702978,7018.825599255881,96,False,3
2024-03-09,lgbm_perfect,32.49199459947383,0.006775179652470445,7018.825599255881,96,False,3
2024-03-10,sn_day,59.73128832274107,0.18797194210281748,5908.241895706667,96,False,3
2024-03-10,sn_week,26.87147384901621,0.07594334103652645,5908.241895706667,96,False,3
2024-03-10,lgbm_lagged,22.50377355500193,0.0704482182793602,5908.241895706667,96,False,3
2024-03-10,lgbm_perfect,23.272763542896797,0.07260273526355653,5908.241895706667,96,False,3
2024-03-11,sn_day,41.16757686658565,0.056180847231195305,6259.930070685833,96,False,3
2024-03-11,sn_week,35.47629008280092,0.08651076361298028,6259.930070685833,96,False,3
2024-03-11,lgbm_lagged,23.66082132734355,0.057321212516725846,6259.930070685833,96,False,3
2024-03-11,lgbm_perfect,22.751953763064762,0.04080586538364973,6259.930070685833,96,False,3
2024-03-12,sn_day,41.382449777604165,0.11264601316258413,7054.602969663334,96,False,3
2024-03-12,sn_week,49.120231893125,0.11873472588737274,7054.602969663334,96,False,3
2024-03-12,lgbm_lagged,27.445354321699508,0.04477235829262084,7054.602969663334,96,False,3
2024-03-12,lgbm_perfect,28.991544210922736,0.06890257046023504,7054.602969663334,96,False,3
2024-03-13,sn_day,50.15126084004629,0.12926126618292824,8101.859599995,96,False,3
2024-03-13,sn_week,36.80498129893519,0.046685219041318664,8101.859599995,96,False,3
2024-03-13,lgbm_lagged,48.03938064712536,0.13970822026169938,8101.859599995,96,False,3
2024-03-13,lgbm_perfect,42.747757404797234,0.11955022791686767,8101.859599995,96,False,3
2024-03-14,sn_day,36.83987602149306,0.002213827803208334,8119.835517621389,96,False,3
2024-03-14,sn_week,68.93452882978009,0.02171915295510336,8119.835517621389,96,False,3
2024-03-14,lgbm_lagged,32.94741309465192,0.021945539697518963,8119.835517621389,96,False,3
2024-03-14,lgbm_perfect,32.882568445397624,0.02345659294424694,8119.835517621389,96,False,3
2024-03-15,sn_day,72.81161063703705,0.25975673286756246,6445.558341361945,96,False,3
2024-03-15,sn_week,64.90068197440972,0.23890578247500766,6445.558341361945,96,False,3
2024-03-15,lgbm_lagged,53.44597174967297,0.19438675095686067,6445.558341361945,96,False,3
2024-03-15,lgbm_perfect,57.68961401962855,0.20904229062518123,6445.558341361945,96,False,3
2024-03-16,sn_day,30.238192905925928,0.09809481719031742,5869.764833108056,96,False,3
2024-03-16,sn_week,61.17419848478968,0.19575925080790563,5869.764833108056,96,False,3
2024-03-16,lgbm_lagged,24.773765107226797,0.07722441972128521,5869.764833108056,96,False,3
2024-03-16,lgbm_perfect,22.24554783032144,0.0648667693172655,5869.764833108056,96,False,3
2024-03-17,sn_day,24.279819694872685,0.02045683300591741,5752.095182525,96,False,3
2024-03-17,sn_week,22.304838836342594,0.02714605864938459,5752.095182525,96,False,3
2024-03-17,lgbm_lagged,16.70165379461051,0.01804715476282528,5752.095182525,96,False,3
2024-03-17,lgbm_perfect,15.22850727516049,0.002963404295848882,5752.095182525,96,False,3
2024-03-18,sn_day,48.548463956504634,0.1416715787125186,6701.508466767223,96,False,3
2024-03-18,sn_week,25.669308807604168,0.06589238800057878,6701.508466767223,96,False,3
2024-03-18,lgbm_lagged,21.674168283452406,0.0010391009702591892,6701.508466767223,96,False,3
