b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Bobcat_education_Angela,fold0,1,0.9180555555555555,0.2667822345207314,0.2547963034180669,0.24696022061228173,48,0.24973927723197853
Bobcat_education_Angela,fold0,6,0.9180555555555555,0.4649615016100287,0.47738060427316176,0.4455264074184617,48,0.43951215980579444
Bobcat_education_Angela,fold0,12,0.9180555555555555,0.5681791446438421,0.5599902242409784,0.5418986781982459,48,0.5757100539921
Bobcat_education_Angela,fold0,18,0.9180555555555555,0.4702310054388716,0.45613326121165365,0.4721644410859263,48,0.4843890269228189
Bobcat_education_Angela,fold0,24,0.9180555555555555,0.5051235998549461,0.5034270427462546,0.4954885002272991,48,0.5131470212864697
Bobcat_education_Angela,fold1,1,0.004166666666666667,0.3248858156786096,0.3081532675262212,0.3208495389516828,24,0.3236981253166915
Bobcat_education_Angela,fold1,6,0.004166666666666667,0.5878309412110155,0.6420729230634064,0.6031692341748809,24,0.6019482535032182
Bobcat_education_Angela,fold1,12,0.004166666666666667,0.6302919405051084,0.7028144506642547,0.6019057324903907,24,0.611525551428525
Bobcat_education_Angela,fold1,18,0.004166666666666667,0.5804605498649069,0.599383197010038,0.6846671067937182,24,0.6686410886896131
Bobcat_education_Angela,fold1,24,0.004166666666666667,0.6875992753473994,0.6789566293274188,0.7312227323549654,24,0.6480723624268879
Bobcat_education_Angela,fold2,1,0.48055555555555557,0.20824739880772272,0.20016625473133356,0.19075749490443733,0,0.19223181033530867
Bobcat_education_Angela,fold2,6,0.48055555555555557,0.2666046991975666,0.26377346870492213,0.26788378070679403,0,0.2691348182150151
Bobcat_education_Angela,fold2,12,0.48055555555555557,0.33172585544614136,0.3302721421313977,0.31306752064276877,0,0.331402076746427
Bobcat_education_Angela,fold2,18,0.48055555555555557,0.3653390083325401,0.3882399005198738,0.37888597059476037,0,0.38749280210424214
Bobcat_education_Angela,fold2,24,0.48055555555555557,0.4324441686405225,0.4347822821628707,0.43279873584702866,0,0.4324286223771877
Bobcat_education_Angela,fold3,1,0.0,0.8223202697170781,0.8114422069999142,0.8218624670768937,0,0.8092663169574996
