building_id,inject,week,max_psi,state,retrained,mae_retrain,mae_frozen,mae_naive,skill_retrain,skill_frozen,psi_load_lag_1,psi_load_lag_24,psi_load_roll_mean_24,psi_airTemperature_lag1,psi_dewTemperature_lag1
Bobcat_education_Angela,False,2017-01-01,10.030671865058284,alert,False,16.523272841710984,16.523272841710984,36.048826686507944,0.458358131469926,0.458358131469926,2.371244562100464,2.1843066087980345,1.6954389994837933,10.030671865058284,7.294997657136449
Bobcat_education_Angela,False,2017-01-08,8.900842277853187,alert,False,1.330737237118311,1.330737237118311,12.368075148809526,0.1075945303620183,0.1075945303620183,7.543605603991285,7.527370493120038,8.900842277853187,7.810605820898893,3.979577693101874
Bobcat_education_Angela,False,2017-01-15,9.449358362361073,alert,False,0.4333610218501688,0.4333610218501688,0.0,,,7.543605603991285,7.527370493120038,8.900842277853187,9.449358362361073,6.72005541286592
Bobcat_education_Angela,False,2017-01-22,9.354155274817495,alert,False,0.8612324656705106,0.8612324656705106,0.0,,,7.543605603991285,7.527370493120038,8.900842277853187,9.354155274817495,6.750670855617162
Bobcat_education_Angela,False,2017-01-29,8.082068027276064,alert,True,33.02402865013042,33.02402865013042,63.693358085317456,0.5184846527622963,0.5184846527622963,5.509805260321053,5.122448626873468,1.3353452722458252,8.082068027276064,5.393251376497545
Bobcat_education_Angela,False,2017-02-05,9.416963708679049,alert,False,14.978824446480989,13.29802068545507,38.8784466765873,0.3852732227468664,0.3420409461333539,7.43879924287607,7.492557968631093,9.416963708679049,5.757305517620946,2.8148047094051414
Bobcat_education_Angela,False,2017-02-12,10.82964613941902,alert,False,11.818773343094792,12.719428864282294,11.086677827380951,1.0660338044554492,1.1472714425658612,8.985429106741247,9.01960929658934,10.82964613941902,5.400826598409553,2.952862009598903
Bobcat_education_Angela,False,2017-02-19,10.85516937604388,alert,False,11.183180328145555,11.104733422058152,12.424098685515876,0.9001200498498139,0.8938059575302753,8.807376234464869,10.579625413402905,10.85516937604388,4.139629659266435,2.9926275088822134
Bobcat_education_Angela,False,2017-02-26,6.915584531686346,alert,True,7.145693274082778,8.165258799579656,22.734458085317467,0.3143111327864754,0.3591578373646391,3.669301627843754,3.91634669140044,4.50018980419841,4.2226745937055385,6.915584531686346
Bobcat_education_Angela,False,2017-03-05,8.900842277853187,alert,False,0.994525438312172,1.1274536585187325,12.440316592261908,0.0799437402526221,0.0906290165653845,7.543605603991285,7.527370493120038,8.900842277853187,3.9021735442626015,1.7555092096720897
Bobcat_education_Angela,False,2017-03-12,3.9543512614191503,alert,False,13.691037125747272,15.799311562026558,23.93527683531746,0.5720024556200494,0.6600847640380763,3.9543512614191503,3.937595914448035,2.0843914827589485,3.610542233987927,3.2075620851068485
Bobcat_education_Angela,False,2017-03-19,9.799439543215204,alert,False,15.715151893945464,21.72537819230463,42.303881522817456,0.371482505345737,0.5135551965978963,8.542255355247878,9.28385132869165,9.799439543215204,2.683144973286218,3.4018014647636665
Bobcat_education_Angela,False,2017-03-26,11.471949631554592,alert,True,6.555552438509842,9.84712356384535,22.900498214285715,0.2862624374879485,0.4299960407718357,9.552516636466528,9.590577620526537,11.471949631554592,5.465132149859921,3.829322181058096
Bobcat_education_Angela,False,2017-04-02,9.65481694487957,alert,False,8.93987452258371,12.109130635994156,5.40969494047619,1.6525653703121332,2.2384128438355613,8.5000948307766,9.58170067680156,9.65481694487957,2.8409914816790445,1.7042839260563871
Bobcat_education_Angela,False,2017-04-09,10.834309764167209,alert,False,8.41679771098633,13.861524035471865,9.119437524801588,0.9229514088007807,1.5199976969822435,9.996856991414123,9.988368561414026,10.834309764167209,2.749633114750721,4.200493331523493
Bobcat_education_Angela,False,2017-04-16,12.762174989963492,alert,False,7.006249554442143,13.714293820971616,5.947889905753968,1.1779386749684662,2.3057410339260747,10.080840062619334,10.116122918008925,12.762174989963492,4.921697347314495,0.603117336214294
Bobcat_education_Angela,False,2017-04-23,10.861768810476311,alert,True,11.0815434259817,13.8759360250635,9.504448834325396,1.1659322512169894,1.4599411567086815,6.913809706827645,6.944830033700175,10.861768810476311,5.507699569865268,2.4968947418196006
Bobcat_education_Angela,False,2017-04-30,9.527542930909153,alert,False,11.535387286505156,15.025145590208208,14.130562524801588,0.8163431049725409,1.063308383076503,2.3015425592106906,4.054833467241667,9.527542930909153,2.329708224886115,2.81707552093285
Bobcat_education_Angela,False,2017-05-07,7.134001439241975,alert,False,11.76584283611259,12.678814540973931,16.875358209325398,0.69722033098004,0.751321209523574,2.115065791478731,1.29542006696541,7.134001439241975,3.772063000349554,1.594315203459778
Bobcat_education_Angela,False,2017-05-14,6.283484382155749,alert,False,5.849845760427551,5.999340299424355,14.834204538690477,0.3943484630517276,0.4044261546870891,4.292047735328284,4.232573616404766,6.283484382155749,3.927024092417842,1.7674783181307072
Bobcat_education_Angela,False,2017-05-21,3.932260107799861,alert,True,18.190181134072844,17.498687523153336,21.695612599206346,0.838426711893734,0.8065542027512724,0.1495944203202104,0.220562684983533,1.5292710082866343,3.932260107799861,0.747012586381727
Bobcat_education_Angela,False,2017-05-28,5.659574806676335,alert,False,15.508638586941776,16.858612423460727,24.096728397817465,0.6435993438987532,0.6996224609888402,0.9549571794714322,0.6772903682066448,5.659574806676335,4.901467832230982,2.744226768665479
Bobcat_education_Angela,False,2017-06-04,8.24421868228037,alert,False,18.081911857387382,18.667132737213784,23.284869568452383,0.776551992452891,0.8016850892093911,1.0594691473122224,1.4299252975858503,8.24421868228037,5.288338012675618,1.4778309058538088
Bobcat_education_Angela,False,2017-06-11,4.711366735165295,alert,False,11.231780825001632,11.2412239551596,30.94960391865079,0.362905478678296,0.3632105917964731,0.1380908311733285,0.1075515124389273,2.6652328995563157,4.711366735165295,1.1986950603718438
Bobcat_education_Angela,False,2017-06-18,9.304980059607256,alert,True,19.520152731708315,19.965266256788375,33.36010687003968,0.5851345982718998,0.5984772870952325,0.6289062459039134,0.6160669211639282,9.304980059607256,6.32271163793468,3.732119665975598
Bobcat_education_Angela,False,2017-06-25,11.332659186679308,alert,False,21.07221687379684,24.08765623050483,17.06540972222222,1.2347911486916745,1.4114900622127102,1.8510486765372864,1.0053443379459697,11.332659186679308,7.350440217836009,1.5958505938865215
